Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 34.29      0.36     0.36 91045554     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
 26.67      0.64     0.28        3    93.33    93.33  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
 21.90      0.87     0.23                             _init
 17.14      1.05     0.18        6    30.00    90.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      1.05     0.00   245052     0.00     0.00  GenericEventHandler<16u, HeartEventHandler>::Instance()
  0.00      1.05     0.00   245048     0.00     0.00  GenericEventHandler<16u, HeartEventHandler>::EndEventImpl(unsigned int)
  0.00      1.05     0.00     5204     0.00     0.00  boost::detail::sp_counted_base::release()
  0.00      1.05     0.00     5202     0.00     0.00  boost::detail::shared_count::shared_count(boost::detail::shared_count const&)
  0.00      1.05     0.00     2601     0.00     0.00  boost::numeric::ublas::c_vector<double, 2ul>::operator()(unsigned long) const
  0.00      1.05     0.00       87     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~_Vector_base()
  0.00      1.05     0.00       60     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::__str_concat<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::value_type const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size_type, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::value_type const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size_type, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::allocator_type const&)
  0.00      1.05     0.00       39     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::back()
