Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 58.33      0.14     0.14 26620320     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
 41.67      0.24     0.10        3    33.33    80.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      0.24     0.00     2668     0.00     0.00  boost::detail::sp_counted_base::release()
  0.00      0.24     0.00     2666     0.00     0.00  boost::detail::shared_count::shared_count(boost::detail::shared_count const&)
  0.00      0.24     0.00       88     0.00     0.00  std::unique_ptr<xsd::cxx::tree::_type::content_type, std::default_delete<xsd::cxx::tree::_type::content_type> >::~unique_ptr()
  0.00      0.24     0.00       88     0.00     0.00  std::unique_ptr<xsd::cxx::tree::_type::dom_info, std::default_delete<xsd::cxx::tree::_type::dom_info> >::~unique_ptr()
  0.00      0.24     0.00       88     0.00     0.00  std::unique_ptr<std::map<xsd::cxx::tree::identity const*, xsd::cxx::tree::_type*, xsd::cxx::tree::_type::identity_comparator, std::allocator<std::pair<xsd::cxx::tree::identity const* const, xsd::cxx::tree::_type*> > >, std::default_delete<std::map<xsd::cxx::tree::identity const*, xsd::cxx::tree::_type*, xsd::cxx::tree::_type::identity_comparator, std::allocator<std::pair<xsd::cxx::tree::identity const* const, xsd::cxx::tree::_type*> > > > >::~unique_ptr()
  0.00      0.24     0.00       76     0.00     0.00  xsd::cxx::tree::_type::_type(xsd::cxx::tree::_type const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00      0.24     0.00       60     0.00     0.00  xsd::cxx::tree::simple_type<char, xsd::cxx::tree::_type>::simple_type(xsd::cxx::tree::simple_type<char, xsd::cxx::tree::_type> const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00      0.24     0.00       60     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<true>(char const*, unsigned long)
  0.00      0.24     0.00       51     0.00     0.00  xsd::cxx::tree::_type::~_type()
  0.00      0.24     0.00       43     0.00     0.00  xsd::cxx::tree::string<char, xsd::cxx::tree::simple_type<char, xsd::cxx::tree::_type> >::string(xsd::cxx::tree::string<char, xsd::cxx::tree::simple_type<char, xsd::cxx::tree::_type> > const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
